Results Based on Closing Point Spread
Note: Away and Home records may not add up to All Teams record, due to Neutral site games included in All Teams data.

All Teams	Away Teams	Home Teams
Closing Spread	Game Count	Record	Win %	Average MOV	Record	Win %	Average MOV	Record	Win %	Average MOV
17.5	684	23-661-0	3.4%	-18.25	17-583-0	2.8%	-18.40	3-34-0	8.1%	-18.22
17	669	36-633-0	5.4%	-17	31-545-0	5.4%	-17.12	3-41-0	6.8%	-15.68
16.5	773	53-720-0	6.9%	-16.2	43-608-0	6.6%	-16.09	8-55-0	12.7%	-16.19
16	778	46-732-0	5.9%	-15.96	36-609-0	5.6%	-16.20	6-67-0	8.2%	-13.14
15.5	912	38-874-0	4.2%	-16.1	32-741-0	4.1%	-16.12	4-75-0	5.1%	-15.86
15	969	64-905-0	6.6%	-15.52	53-754-0	6.6%	-15.76	1-78-0	1.3%	-15.29
14.5	1161	83-1078-0	7.1%	-14.87	72-871-0	7.6%	-14.80	5-112-0	4.3%	-14.46
14	1221	104-1117-0	8.5%	-13.91	89-879-0	9.2%	-13.56	8-119-0	6.3%	-15.34
13.5	1386	112-1274-0	8.1%	-13.99	86-1029-0	7.7%	-14.02	10-144-0	6.5%	-15.22
13	1449	141-1308-0	9.7%	-13.37	98-1024-0	8.7%	-13.65	23-155-0	12.9%	-13.01
12.5	1616	178-1438-0	11.0%	-12.41	140-1106-0	11.2%	-12.23	27-194-0	12.2%	-12.93
12	1554	200-1354-0	12.9%	-11.64	154-1032-0	13.0%	-11.38	30-194-0	13.4%	-12.80
11.5	1701	207-1494-0	12.2%	-11.43	162-1128-0	12.6%	-11.23	26-214-0	10.8%	-11.52
11	1728	246-1482-0	14.2%	-11.01	192-1087-0	15.0%	-10.73	35-241-0	12.7%	-11.53
10.5	1971	283-1688-0	14.4%	-10.85	197-1206-0	14.0%	-10.92	52-267-0	16.3%	-10.31
10	2124	347-1777-0	16.3%	-9.87	230-1283-0	15.2%	-10.00	73-292-0	20.0%	-9.79
